,last_move,predicted_position,target_position,shape,region,color,steps,time
0,grip,[7 9],[7 9],P,center,red,3,1.7302021980285645
1,grip,[11  7],[11  7],P,center,red,5,1.5307483673095703
2,grip,[9 7],[10  7],P,center,red,3,0.9429078102111816
3,grip,[8 6],[8 6],P,center,red,5,1.5087292194366455
4,grip,[ 9 16],[10 16],P,bottom,red,8,2.35184645652771
5,grip,[2 8],[2 7],P,left,red,9,2.615373134613037
6,grip,[ 7 14],[4 5],P,top left,red,8,2.342198371887207
7,grip,[14 14],[15 14],P,bottom right,red,11,3.1645052433013916
8,grip,[12  7],[12  7],P,center,red,6,1.781029462814331
9,grip,[ 5 15],[13 11],P,right,red,11,3.1682450771331787
10,grip,[ 7 15],[10 12],P,center,red,9,2.6062865257263184
11,grip,[ 6 15],[ 6 15],P,bottom,red,10,2.8793740272521973
12,grip,[15  5],[15  4],P,top right,red,11,3.1526122093200684
13,grip,[9 4],[13 14],P,bottom right,red,10,2.8868634700775146
14,grip,[ 4 14],[ 4 14],P,bottom left,red,11,3.17216420173645
15,grip,[15 14],[16 14],P,bottom right,red,12,3.5058653354644775
16,up,[ 3 -5],[3 2],P,top left,red,20,5.562716960906982
17,grip,[ 2 16],[ 2 16],P,bottom left,red,15,4.285374879837036
18,grip,[12 11],[ 8 16],P,bottom,red,6,1.783966302871704
19,grip,[ 7 12],[ 7 12],P,center,red,6,1.7778961658477783
20,grip,[15  7],[15  6],P,right,blue,9,2.6046640872955322
21,grip,[14  3],[14  3],P,top right,blue,16,4.547527551651001
22,grip,[ 8 11],[ 8 12],P,center,blue,4,1.2118949890136719
23,grip,[9 8],[12  2],P,top,blue,10,2.876281976699829
24,grip,[12  7],[ 6 15],P,bottom,blue,12,3.429136037826538
25,grip,[ 8 10],[8 9],P,center,blue,3,0.9349989891052246
26,grip,[6 4],[6 4],P,top,blue,9,2.6014904975891113
27,grip,[ 2 13],[ 2 13],P,bottom left,blue,12,3.435166597366333
28,grip,[ 7 14],[ 7 15],P,bottom,blue,8,2.321556329727173
