,last_move,predicted_position,target_position,shape,region,color,steps,time
0,right,[29  9],[7 3],P,top,red,20,4.543164253234863
1,right,[29  9],[13  2],P,top right,red,20,3.4528770446777344
2,right,[29  9],[11  8],P,center,red,20,3.4488449096679688
3,right,[29  9],[13  2],P,top right,red,20,3.446993827819824
4,down,[9 9],[ 5 13],P,bottom left,red,20,3.4455699920654297
5,right,[29  9],[10  6],P,center,red,20,3.4530580043792725
6,right,[29  9],[4 5],P,top left,red,20,3.454592704772949
7,right,[29  9],[8 8],P,center,red,20,3.454082489013672
8,right,[29  9],[ 6 11],P,center,red,20,3.45627498626709
9,right,[28  8],[6 3],P,top,red,20,3.4598758220672607
10,down,[12 10],[ 5 15],P,bottom left,red,20,3.4600415229797363
11,up,[14  4],[4 5],P,top left,red,20,3.4606666564941406
12,right,[24  4],[12  2],P,top,red,20,3.4625353813171387
13,up,[9 7],[8 4],P,top,red,20,3.4680593013763428
14,right,[29  9],[16  7],P,right,red,20,3.4649970531463623
15,right,[28  8],[9 4],P,top,red,20,3.4680333137512207
16,right,[29  9],[10 15],P,bottom,red,20,3.60567307472229
17,right,[26 12],[16 13],P,bottom right,red,20,3.4719362258911133
18,down,[12 10],[ 3 15],P,bottom left,red,20,3.467900276184082
19,up,[11 -9],[11 16],P,bottom,red,20,3.4755282402038574
20,down,[ 9 11],[ 4 12],P,left,blue,20,3.4701733589172363
21,up,[ 9 11],[ 4 13],P,bottom left,blue,20,3.4763927459716797
22,right,[29  9],[13  8],P,right,blue,20,3.4684934616088867
23,right,[29  9],[10  8],P,center,blue,20,3.4783992767333984
24,down,[9 7],[ 2 13],P,bottom left,blue,20,3.471569776535034
25,right,[29  9],[6 2],P,top,blue,20,3.468411922454834
26,right,[29  9],[14  9],P,right,blue,20,3.4650814533233643
27,right,[29  9],[13 12],P,right,blue,20,3.465285062789917
28,down,[ 9 13],[4 6],P,left,blue,20,3.4728758335113525
29,right,[28 10],[15 16],P,bottom right,blue,20,3.47477650642395
