,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,left,[-11   9],[10 12],T,center,cyan,20,3.6722748279571533,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
1,right,[29  9],[15 16],T,bottom right,blue,20,2.6171252727508545,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
2,right,[29  9],[11 10],T,center,magenta,20,2.6081535816192627,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
3,down,[ 9 29],[ 5 15],T,bottom left,magenta,20,2.5879056453704834,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
4,right,[29  9],[15  2],Z,top right,blue,20,2.6338682174682617,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
5,up,[  9 -11],[6 8],T,center,green,20,2.5820677280426025,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
6,right,[28  8],[16  5],T,top right,yellow,20,2.5706982612609863,"['right', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
7,up,[  9 -11],[3 7],T,left,yellow,20,2.5802550315856934,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
8,right,[29  9],[13 11],W,right,green,20,2.5958402156829834,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
9,up,[  8 -10],[14  4],P,top right,magenta,20,2.6101233959198,"['up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
10,right,[29  9],[16 13],Z,bottom right,cyan,20,2.6051266193389893,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
11,up,[  9 -11],[ 7 10],P,center,green,20,2.6140854358673096,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
12,left,[-11   9],[ 2 11],W,left,magenta,20,2.6282107830047607,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
13,right,[29  9],[4 4],U,top left,magenta,20,2.6282167434692383,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
14,right,[29  9],[11 13],W,bottom,cyan,20,2.6435818672180176,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
15,right,[29  9],[8 5],U,top,blue,20,2.611618995666504,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
16,right,[29  9],[ 9 11],T,center,blue,20,2.609940767288208,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
17,right,[7 9],[8 9],U,center,yellow,20,2.6013243198394775,"['left', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
18,right,[29  9],[15 10],X,right,magenta,20,2.6160197257995605,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
19,right,[29  9],[ 2 13],W,bottom left,blue,20,2.610111713409424,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
