,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,grip,[10 12],[10 12],T,center,cyan,5,3.1047592163085938,"['down', 'down', 'down', 'right', 'grip']"
1,grip,[15 16],[15 16],T,bottom right,blue,14,5.768425703048706,"['down', 'down', 'down', 'down', 'right', 'down', 'right', 'down', 'right', 'right', 'down', 'right', 'right', 'grip']"
2,grip,[11 10],[11 10],T,center,magenta,4,1.7485899925231934,"['down', 'right', 'right', 'grip']"
3,grip,[ 5 15],[ 5 15],T,bottom left,magenta,11,4.800666093826294,"['down', 'down', 'down', 'down', 'left', 'left', 'down', 'left', 'down', 'left', 'grip']"
4,grip,[15  2],[15  2],Z,top right,blue,14,5.773866891860962,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'grip']"
5,grip,[6 8],[6 8],T,center,green,5,2.1543798446655273,"['left', 'left', 'left', 'up', 'grip']"
6,grip,[16  5],[16  5],T,top right,yellow,12,5.033077955245972,"['up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'right', 'grip']"
7,grip,[3 7],[3 7],T,left,yellow,9,3.758932113647461,"['left', 'left', 'left', 'up', 'left', 'left', 'up', 'left', 'grip']"
8,grip,[13 11],[13 11],W,right,green,7,2.9938478469848633,"['down', 'right', 'right', 'down', 'right', 'right', 'grip']"
9,grip,[14  4],[14  4],P,top right,magenta,11,4.852875709533691,"['up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'grip']"
10,grip,[16 13],[16 13],Z,bottom right,cyan,13,5.799429655075073,"['down', 'down', 'down right', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'grip']"
11,grip,[ 7 10],[ 7 10],P,center,green,4,1.7749497890472412,"['left', 'down', 'left', 'grip']"
12,grip,[ 2 11],[ 2 11],W,left,magenta,10,4.183964490890503,"['left', 'left', 'left', 'left', 'down', 'down', 'left', 'left', 'left', 'grip']"
13,grip,[4 4],[4 4],U,top left,magenta,11,4.811185836791992,"['up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'up', 'left', 'grip']"
14,grip,[11 13],[11 13],W,bottom,cyan,7,2.9481635093688965,"['down', 'down', 'down', 'down', 'right', 'right', 'grip']"
15,grip,[8 5],[8 5],U,top,blue,6,2.5598933696746826,"['up', 'up', 'up', 'up', 'left', 'grip']"
16,grip,[ 9 11],[ 9 11],T,center,blue,3,1.3496880531311035,"['down', 'down', 'grip']"
17,grip,[8 9],[8 9],U,center,yellow,2,0.9441964626312256,"['left', 'grip']"
18,grip,[15 10],[15 10],X,right,magenta,8,3.373633861541748,"['right', 'right', 'right', 'down', 'right', 'right', 'right', 'grip']"
19,grip,[ 2 13],[ 2 13],W,bottom left,blue,12,4.999520778656006,"['left', 'down', 'left', 'down', 'down', 'left', 'left', 'left', 'down', 'left', 'left', 'grip']"
20,grip,[12  7],[12  7],W,center,red,8,3.377793788909912,"['up', 'right', 'right', 'up', 'down', 'up', 'right', 'grip']"
21,grip,[ 6 16],[ 6 16],T,bottom,magenta,11,4.646543741226196,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'grip']"
22,grip,[10 14],[10 14],W,bottom,green,7,3.015774726867676,"['down', 'down', 'down', 'down', 'down', 'right', 'grip']"
23,grip,[4 9],[4 9],W,left,red,6,2.5930538177490234,"['left', 'left', 'left', 'left', 'left', 'grip']"
24,grip,[ 7 15],[ 7 15],W,bottom,red,9,3.80561900138855,"['down', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'grip']"
25,grip,[ 8 13],[ 8 13],T,bottom,blue,6,2.592308521270752,"['down', 'down', 'down', 'down', 'left', 'grip']"
26,grip,[15  5],[15  5],U,top right,red,11,4.5939695835113525,"['up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'grip']"
